date,number_crimes,prec,temp
2010-02-14,836,0.011205072067141036,46.17988769942166
2010-02-21,782,0.0013690476190476191,46.43382020156607
2010-02-28,800,0.0052267478897913685,47.8497063281546
2010-03-07,752,0.0006318681318681319,48.992070759927905
2010-03-14,782,0.006809111721611723,43.57453041945523
2010-03-21,848,0.0006887755102040815,50.48806366047746
2010-03-28,837,0.006254945054945055,51.61776171579743
2010-04-04,791,0.011372454386173899,45.08710305247572
2010-04-11,746,0.002488095238095238,47.535360750360745
2010-04-18,842,0.001527269027269027,53.57245484400657
2010-04-25,888,0.005759523809523811,52.18911751011405
2010-05-02,839,0.00763937728937729,51.38828420256991
2010-05-09,819,0.00396551724137931,51.60828592975652
2010-05-16,863,0.0010648148148148149,57.263440062241905
2010-05-23,854,0.0063339964633068084,54.0576001392703
